1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
4	J	360
4	R	360
4	W	361
0	R	361
4	J	392
4	R	392
4	W	392
0	R	392
4	J	557
4	R	557
4	W	557
0	R	557
4	J	580
4	R	580
4	W	580
0	R	581
4	J	771
4	R	771
4	W	771
0	R	771
4	J	789
4	R	789
4	W	789
0	R	789
4	J	870
4	R	870
4	W	870
0	R	870
4	J	897
4	R	897
4	W	897
0	R	897
4	J	960
4	R	960
4	W	960
0	R	960
4	J	987
4	R	987
4	W	987
0	R	987
4	J	1080
4	R	1080
4	W	1080
0	R	1080
4	J	1104
4	R	1104
4	W	1104
0	R	1104
4	J	1229
4	R	1229
4	W	1229
0	R	1229
4	J	1252
4	R	1252
4	W	1252
0	R	1252
4	J	1322
4	R	1322
4	W	1322
0	R	1322
4	J	1351
4	R	1351
4	W	1351
0	R	1351
4	J	1384
4	R	1384
4	W	1385
0	R	1385
4	J	1409
4	R	1409
4	W	1409
0	R	1409
4	J	1438
4	R	1438
4	W	1438
0	R	1438
4	J	1454
4	R	1454
4	W	1454
0	R	1454
4	J	1466
4	R	1466
4	W	1466
0	R	1466
4	J	1483
4	R	1483
4	W	1483
0	R	1483
4	J	1648
4	R	1648
6	N	1649
6	J	1649
4	W	1650
6	R	1650
7	N	1651
7	J	1652
8	N	1652
8	J	1652
9	N	1653
9	J	1653
10	N	1653
10	J	1654
6	W	1655
10	R	1655
10	J	1670
9	R	1670
9	W	1670
8	R	1670
8	J	1685
7	R	1685
7	J	1700
10	R	1700
10	J	1715
8	R	1715
8	J	1730
7	R	1730
7	J	1745
10	R	1745
10	J	1760
8	R	1760
9	J	1775
8	J	1775
9	R	1775
9	W	1775
7	R	1775
7	J	1790
10	R	1790
10	J	1805
8	R	1805
8	J	1820
7	R	1820
7	J	1835
10	R	1835
10	J	1850
8	R	1850
8	J	1865
7	R	1865
9	J	1880
7	J	1880
9	R	1880
9	W	1880
10	R	1880
10	J	1895
8	R	1895
8	J	1910
7	R	1910
7	J	1925
10	R	1925
10	J	1940
8	R	1940
8	J	1955
7	R	1955
7	J	1970
10	R	1970
9	J	1985
10	J	1985
9	R	1985
9	W	1985
8	R	1985
8	J	2000
7	R	2000
7	J	2015
10	R	2015
10	J	2030
8	R	2030
8	J	2045
7	R	2045
7	J	2060
10	R	2060
10	J	2075
8	R	2075
9	J	2090
8	J	2090
9	R	2090
9	W	2090
7	R	2090
7	J	2105
10	R	2105
10	J	2120
8	R	2120
8	J	2135
7	R	2135
7	J	2150
10	R	2150
10	J	2165
8	R	2165
8	J	2180
7	R	2180
9	J	2195
7	J	2195
9	R	2195
9	W	2195
10	R	2195
10	J	2210
8	R	2210
8	J	2225
7	R	2225
7	J	2240
10	R	2240
10	W	2245
8	R	2245
8	J	2260
7	R	2260
7	W	2265
8	R	2265
9	J	2310
8	J	2310
9	R	2310
9	W	2310
8	R	2310
10	J	2355
8	J	2355
10	R	2355
10	W	2355
8	R	2355
7	J	2370
8	J	2370
7	R	2370
7	W	2370
8	R	2370
9	J	2415
8	J	2415
9	R	2415
9	W	2415
8	R	2415
10	J	2460
8	J	2460
10	R	2460
10	E	2460
6	J	2460
6	R	2460
6	E	2461
4	J	2461
4	R	2461
11	N	2461
11	J	2462
4	W	2462
11	R	2462
4	J	2464
11	E	2464
4	R	2465
4	W	2465
8	R	2465
7	J	2480
8	J	2480
7	R	2480
7	J	2509
8	R	2509
9	J	2524
8	J	2524
9	R	2524
9	E	2524
1	J	2524
1	R	2524
1	W	2524
7	R	2524
7	J	2539
8	R	2539
8	J	2554
7	R	2554
7	J	2569
8	R	2569
8	J	2584
7	R	2584
7	J	2599
8	R	2599
8	J	2614
7	R	2614
7	J	2629
8	R	2629
8	J	2644
7	R	2644
7	J	2659
8	R	2659
8	J	2674
7	R	2674
7	J	2689
8	R	2689
4	J	2699
8	J	2704
4	R	2704
4	W	2704
7	R	2704
4	J	2717
7	J	2719
4	R	2719
4	W	2719
8	R	2719
8	J	2734
7	R	2734
7	J	2749
8	R	2749
8	J	2764
7	R	2764
7	J	2779
8	R	2779
8	J	2794
7	R	2794
7	J	2809
8	R	2809
4	J	2820
8	J	2824
4	R	2824
4	W	2824
7	R	2824
7	J	2839
8	R	2839
4	J	2846
8	J	2854
4	R	2854
4	W	2854
7	R	2854
7	E	2860
1	J	2860
1	R	2860
1	W	2860
8	R	2860
4	J	2887
8	J	2890
4	R	2890
4	W	2890
8	R	2890
4	J	2910
8	J	2920
4	R	2920
4	W	2920
8	R	2920
4	J	2952
8	J	2965
4	R	2965
4	W	2965
8	R	2965
8	E	3060
1	J	3060
1	R	3060
1	W	3060
0	R	3060
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	3110
4	R	3110
12	N	3111
12	J	3112
4	W	3112
12	R	3112
